age,sex,nat,year,spatial_unit,n
0,m,ch,2025,1,428
1,m,ch,2025,1,446
2,m,ch,2025,1,430
3,m,ch,2025,1,445
4,m,ch,2025,1,526
5,m,ch,2025,1,527
6,m,ch,2025,1,480
7,m,ch,2025,1,496
8,m,ch,2025,1,489
9,m,ch,2025,1,490
10,m,ch,2025,1,492
11,m,ch,2025,1,504
12,m,ch,2025,1,487
13,m,ch,2025,1,485
14,m,ch,2025,1,517
15,m,ch,2025,1,503
16,m,ch,2025,1,523
17,m,ch,2025,1,500
18,m,ch,2025,1,484
19,m,ch,2025,1,483
20,m,ch,2025,1,493
21,m,ch,2025,1,489
22,m,ch,2025,1,525
23,m,ch,2025,1,471
24,m,ch,2025,1,557
25,m,ch,2025,1,630
26,m,ch,2025,1,663
27,m,ch,2025,1,706
28,m,ch,2025,1,694
29,m,ch,2025,1,818
30,m,ch,2025,1,754
31,m,ch,2025,1,702
32,m,ch,2025,1,815
33,m,ch,2025,1,808
34,m,ch,2025,1,753
35,m,ch,2025,1,754
36,m,ch,2025,1,744
37,m,ch,2025,1,693
38,m,ch,2025,1,674
39,m,ch,2025,1,733
40,m,ch,2025,1,639
41,m,ch,2025,1,728
42,m,ch,2025,1,684
43,m,ch,2025,1,654
44,m,ch,2025,1,642
45,m,ch,2025,1,626
46,m,ch,2025,1,645
47,m,ch,2025,1,588
48,m,ch,2025,1,572
49,m,ch,2025,1,538
50,m,ch,2025,1,608
51,m,ch,2025,1,581
52,m,ch,2025,1,605
53,m,ch,2025,1,597
54,m,ch,2025,1,664
55,m,ch,2025,1,651
56,m,ch,2025,1,635
57,m,ch,2025,1,690
58,m,ch,2025,1,687
59,m,ch,2025,1,751
60,m,ch,2025,1,697
61,m,ch,2025,1,705
62,m,ch,2025,1,687
63,m,ch,2025,1,655
64,m,ch,2025,1,676
65,m,ch,2025,1,614
66,m,ch,2025,1,615
67,m,ch,2025,1,571
68,m,ch,2025,1,569
69,m,ch,2025,1,565
70,m,ch,2025,1,557
71,m,ch,2025,1,537
72,m,ch,2025,1,472
73,m,ch,2025,1,492
74,m,ch,2025,1,431
75,m,ch,2025,1,429
76,m,ch,2025,1,424
77,m,ch,2025,1,427
78,m,ch,2025,1,449
79,m,ch,2025,1,429
80,m,ch,2025,1,419
81,m,ch,2025,1,374
82,m,ch,2025,1,358
83,m,ch,2025,1,340
84,m,ch,2025,1,305
85,m,ch,2025,1,205
86,m,ch,2025,1,223
87,m,ch,2025,1,194
88,m,ch,2025,1,167
89,m,ch,2025,1,124
90,m,ch,2025,1,119
91,m,ch,2025,1,117
92,m,ch,2025,1,62
93,m,ch,2025,1,65
94,m,ch,2025,1,49
95,m,ch,2025,1,39
96,m,ch,2025,1,20
97,m,ch,2025,1,16
98,m,ch,2025,1,10
99,m,ch,2025,1,2
100,m,ch,2025,1,9
0,f,ch,2025,1,430
1,f,ch,2025,1,401
2,f,ch,2025,1,439
3,f,ch,2025,1,434
4,f,ch,2025,1,509
5,f,ch,2025,1,459
6,f,ch,2025,1,446
7,f,ch,2025,1,478
8,f,ch,2025,1,471
9,f,ch,2025,1,461
10,f,ch,2025,1,526
11,f,ch,2025,1,442
12,f,ch,2025,1,449
13,f,ch,2025,1,468
14,f,ch,2025,1,482
15,f,ch,2025,1,498
16,f,ch,2025,1,462
17,f,ch,2025,1,487
18,f,ch,2025,1,442
19,f,ch,2025,1,469
20,f,ch,2025,1,490
21,f,ch,2025,1,498
22,f,ch,2025,1,506
23,f,ch,2025,1,537
24,f,ch,2025,1,518
25,f,ch,2025,1,624
26,f,ch,2025,1,713
27,f,ch,2025,1,710
28,f,ch,2025,1,707
29,f,ch,2025,1,750
30,f,ch,2025,1,735
31,f,ch,2025,1,735
32,f,ch,2025,1,714
33,f,ch,2025,1,730
34,f,ch,2025,1,754
35,f,ch,2025,1,727
36,f,ch,2025,1,658
37,f,ch,2025,1,694
38,f,ch,2025,1,697
39,f,ch,2025,1,660
40,f,ch,2025,1,652
41,f,ch,2025,1,657
42,f,ch,2025,1,652
43,f,ch,2025,1,665
44,f,ch,2025,1,618
45,f,ch,2025,1,601
46,f,ch,2025,1,576
47,f,ch,2025,1,580
48,f,ch,2025,1,596
49,f,ch,2025,1,666
50,f,ch,2025,1,605
51,f,ch,2025,1,576
52,f,ch,2025,1,594
53,f,ch,2025,1,585
54,f,ch,2025,1,668
55,f,ch,2025,1,686
56,f,ch,2025,1,702
57,f,ch,2025,1,785
58,f,ch,2025,1,714
59,f,ch,2025,1,763
60,f,ch,2025,1,733
61,f,ch,2025,1,788
62,f,ch,2025,1,781
63,f,ch,2025,1,711
64,f,ch,2025,1,684
65,f,ch,2025,1,671
66,f,ch,2025,1,664
67,f,ch,2025,1,680
68,f,ch,2025,1,694
69,f,ch,2025,1,635
70,f,ch,2025,1,572
71,f,ch,2025,1,607
72,f,ch,2025,1,586
73,f,ch,2025,1,586
74,f,ch,2025,1,546
75,f,ch,2025,1,568
76,f,ch,2025,1,551
77,f,ch,2025,1,546
78,f,ch,2025,1,525
79,f,ch,2025,1,570
80,f,ch,2025,1,519
81,f,ch,2025,1,537
82,f,ch,2025,1,496
83,f,ch,2025,1,456
84,f,ch,2025,1,397
85,f,ch,2025,1,336
86,f,ch,2025,1,339
87,f,ch,2025,1,296
88,f,ch,2025,1,259
89,f,ch,2025,1,262
90,f,ch,2025,1,226
91,f,ch,2025,1,191
92,f,ch,2025,1,157
93,f,ch,2025,1,116
94,f,ch,2025,1,95
95,f,ch,2025,1,95
96,f,ch,2025,1,70
97,f,ch,2025,1,55
98,f,ch,2025,1,29
99,f,ch,2025,1,15
100,f,ch,2025,1,30
0,m,int,2025,1,228
1,m,int,2025,1,233
2,m,int,2025,1,254
3,m,int,2025,1,261
4,m,int,2025,1,260
5,m,int,2025,1,220
6,m,int,2025,1,250
7,m,int,2025,1,256
8,m,int,2025,1,241
9,m,int,2025,1,277
10,m,int,2025,1,230
11,m,int,2025,1,258
12,m,int,2025,1,262
13,m,int,2025,1,237
14,m,int,2025,1,245
15,m,int,2025,1,205
16,m,int,2025,1,200
17,m,int,2025,1,283
18,m,int,2025,1,217
19,m,int,2025,1,267
20,m,int,2025,1,231
21,m,int,2025,1,205
22,m,int,2025,1,208
23,m,int,2025,1,231
24,m,int,2025,1,257
25,m,int,2025,1,333
26,m,int,2025,1,331
27,m,int,2025,1,414
28,m,int,2025,1,450
29,m,int,2025,1,458
30,m,int,2025,1,468
31,m,int,2025,1,507
32,m,int,2025,1,512
33,m,int,2025,1,470
34,m,int,2025,1,548
35,m,int,2025,1,573
36,m,int,2025,1,576
37,m,int,2025,1,498
38,m,int,2025,1,528
39,m,int,2025,1,537
40,m,int,2025,1,509
41,m,int,2025,1,521
42,m,int,2025,1,471
43,m,int,2025,1,494
44,m,int,2025,1,461
45,m,int,2025,1,476
46,m,int,2025,1,439
47,m,int,2025,1,423
48,m,int,2025,1,423
49,m,int,2025,1,409
50,m,int,2025,1,397
51,m,int,2025,1,353
52,m,int,2025,1,377
53,m,int,2025,1,341
54,m,int,2025,1,341
55,m,int,2025,1,305
56,m,int,2025,1,314
57,m,int,2025,1,292
58,m,int,2025,1,288
59,m,int,2025,1,285
60,m,int,2025,1,309
61,m,int,2025,1,278
62,m,int,2025,1,241
63,m,int,2025,1,241
64,m,int,2025,1,200
65,m,int,2025,1,192
66,m,int,2025,1,157
67,m,int,2025,1,145
68,m,int,2025,1,121
69,m,int,2025,1,113
70,m,int,2025,1,126
71,m,int,2025,1,96
72,m,int,2025,1,100
73,m,int,2025,1,89
74,m,int,2025,1,84
75,m,int,2025,1,105
76,m,int,2025,1,82
77,m,int,2025,1,73
78,m,int,2025,1,62
79,m,int,2025,1,71
80,m,int,2025,1,61
81,m,int,2025,1,61
82,m,int,2025,1,65
83,m,int,2025,1,60
84,m,int,2025,1,48
85,m,int,2025,1,50
86,m,int,2025,1,43
87,m,int,2025,1,34
88,m,int,2025,1,27
89,m,int,2025,1,22
90,m,int,2025,1,21
91,m,int,2025,1,10
92,m,int,2025,1,7
93,m,int,2025,1,1
94,m,int,2025,1,6
95,m,int,2025,1,1
96,m,int,2025,1,2
97,m,int,2025,1,1
98,m,int,2025,1,0
99,m,int,2025,1,0
100,m,int,2025,1,0
0,f,int,2025,1,186
1,f,int,2025,1,190
2,f,int,2025,1,226
3,f,int,2025,1,198
4,f,int,2025,1,235
5,f,int,2025,1,229
6,f,int,2025,1,237
7,f,int,2025,1,225
8,f,int,2025,1,209
9,f,int,2025,1,219
10,f,int,2025,1,221
11,f,int,2025,1,238
12,f,int,2025,1,216
13,f,int,2025,1,219
14,f,int,2025,1,187
15,f,int,2025,1,194
16,f,int,2025,1,181
17,f,int,2025,1,179
18,f,int,2025,1,167
19,f,int,2025,1,162
20,f,int,2025,1,168
21,f,int,2025,1,172
22,f,int,2025,1,179
23,f,int,2025,1,188
24,f,int,2025,1,221
25,f,int,2025,1,260
26,f,int,2025,1,304
27,f,int,2025,1,363
28,f,int,2025,1,365
29,f,int,2025,1,384
30,f,int,2025,1,409
31,f,int,2025,1,469
32,f,int,2025,1,463
33,f,int,2025,1,513
34,f,int,2025,1,465
35,f,int,2025,1,489
36,f,int,2025,1,463
37,f,int,2025,1,462
38,f,int,2025,1,407
39,f,int,2025,1,447
40,f,int,2025,1,458
41,f,int,2025,1,453
42,f,int,2025,1,423
43,f,int,2025,1,435
44,f,int,2025,1,417
45,f,int,2025,1,417
46,f,int,2025,1,370
47,f,int,2025,1,388
48,f,int,2025,1,349
49,f,int,2025,1,354
50,f,int,2025,1,332
51,f,int,2025,1,309
52,f,int,2025,1,295
53,f,int,2025,1,318
54,f,int,2025,1,249
55,f,int,2025,1,267
56,f,int,2025,1,259
57,f,int,2025,1,238
58,f,int,2025,1,257
59,f,int,2025,1,257
60,f,int,2025,1,234
61,f,int,2025,1,226
62,f,int,2025,1,193
63,f,int,2025,1,177
64,f,int,2025,1,167
65,f,int,2025,1,179
66,f,int,2025,1,148
67,f,int,2025,1,148
68,f,int,2025,1,128
69,f,int,2025,1,123
70,f,int,2025,1,110
71,f,int,2025,1,117
72,f,int,2025,1,107
73,f,int,2025,1,95
74,f,int,2025,1,87
75,f,int,2025,1,91
76,f,int,2025,1,79
77,f,int,2025,1,86
78,f,int,2025,1,76
79,f,int,2025,1,61
80,f,int,2025,1,55
81,f,int,2025,1,53
82,f,int,2025,1,51
83,f,int,2025,1,47
84,f,int,2025,1,52
85,f,int,2025,1,62
86,f,int,2025,1,45
87,f,int,2025,1,52
88,f,int,2025,1,42
89,f,int,2025,1,14
90,f,int,2025,1,26
91,f,int,2025,1,16
92,f,int,2025,1,12
93,f,int,2025,1,9
94,f,int,2025,1,4
95,f,int,2025,1,6
96,f,int,2025,1,7
97,f,int,2025,1,7
98,f,int,2025,1,1
99,f,int,2025,1,2
100,f,int,2025,1,1
0,m,ch,2025,2,653
1,m,ch,2025,2,668
2,m,ch,2025,2,665
3,m,ch,2025,2,744
4,m,ch,2025,2,839
5,m,ch,2025,2,742
6,m,ch,2025,2,787
7,m,ch,2025,2,796
8,m,ch,2025,2,775
9,m,ch,2025,2,742
10,m,ch,2025,2,782
11,m,ch,2025,2,827
12,m,ch,2025,2,793
13,m,ch,2025,2,813
14,m,ch,2025,2,801
15,m,ch,2025,2,782
16,m,ch,2025,2,772
17,m,ch,2025,2,804
18,m,ch,2025,2,762
19,m,ch,2025,2,818
20,m,ch,2025,2,734
21,m,ch,2025,2,782
22,m,ch,2025,2,760
23,m,ch,2025,2,718
24,m,ch,2025,2,705
25,m,ch,2025,2,759
26,m,ch,2025,2,732
27,m,ch,2025,2,739
28,m,ch,2025,2,700
29,m,ch,2025,2,801
30,m,ch,2025,2,734
31,m,ch,2025,2,745
32,m,ch,2025,2,808
33,m,ch,2025,2,836
34,m,ch,2025,2,820
35,m,ch,2025,2,812
36,m,ch,2025,2,862
37,m,ch,2025,2,875
38,m,ch,2025,2,869
39,m,ch,2025,2,896
40,m,ch,2025,2,810
41,m,ch,2025,2,898
42,m,ch,2025,2,844
43,m,ch,2025,2,962
44,m,ch,2025,2,922
45,m,ch,2025,2,916
46,m,ch,2025,2,885
47,m,ch,2025,2,828
48,m,ch,2025,2,863
49,m,ch,2025,2,811
50,m,ch,2025,2,786
51,m,ch,2025,2,879
52,m,ch,2025,2,854
53,m,ch,2025,2,847
54,m,ch,2025,2,870
55,m,ch,2025,2,946
56,m,ch,2025,2,1005
57,m,ch,2025,2,1022
58,m,ch,2025,2,1040
59,m,ch,2025,2,1072
60,m,ch,2025,2,1094
61,m,ch,2025,2,1022
62,m,ch,2025,2,1021
63,m,ch,2025,2,984
64,m,ch,2025,2,945
65,m,ch,2025,2,908
66,m,ch,2025,2,850
67,m,ch,2025,2,832
68,m,ch,2025,2,853
69,m,ch,2025,2,798
70,m,ch,2025,2,782
71,m,ch,2025,2,729
72,m,ch,2025,2,747
73,m,ch,2025,2,638
74,m,ch,2025,2,665
75,m,ch,2025,2,662
76,m,ch,2025,2,680
77,m,ch,2025,2,632
78,m,ch,2025,2,624
79,m,ch,2025,2,608
80,m,ch,2025,2,562
81,m,ch,2025,2,546
82,m,ch,2025,2,476
83,m,ch,2025,2,443
84,m,ch,2025,2,357
85,m,ch,2025,2,276
86,m,ch,2025,2,236
87,m,ch,2025,2,246
88,m,ch,2025,2,215
89,m,ch,2025,2,179
90,m,ch,2025,2,128
91,m,ch,2025,2,113
92,m,ch,2025,2,90
93,m,ch,2025,2,68
94,m,ch,2025,2,55
95,m,ch,2025,2,34
96,m,ch,2025,2,22
97,m,ch,2025,2,19
98,m,ch,2025,2,8
99,m,ch,2025,2,5
100,m,ch,2025,2,9
0,f,ch,2025,2,600
1,f,ch,2025,2,686
2,f,ch,2025,2,688
3,f,ch,2025,2,683
4,f,ch,2025,2,734
5,f,ch,2025,2,680
6,f,ch,2025,2,732
7,f,ch,2025,2,692
8,f,ch,2025,2,741
9,f,ch,2025,2,763
10,f,ch,2025,2,697
11,f,ch,2025,2,729
12,f,ch,2025,2,735
13,f,ch,2025,2,753
14,f,ch,2025,2,716
15,f,ch,2025,2,809
16,f,ch,2025,2,764
17,f,ch,2025,2,785
18,f,ch,2025,2,741
19,f,ch,2025,2,711
20,f,ch,2025,2,686
21,f,ch,2025,2,733
22,f,ch,2025,2,700
23,f,ch,2025,2,669
24,f,ch,2025,2,733
25,f,ch,2025,2,767
26,f,ch,2025,2,746
27,f,ch,2025,2,754
28,f,ch,2025,2,716
29,f,ch,2025,2,744
30,f,ch,2025,2,757
31,f,ch,2025,2,767
32,f,ch,2025,2,817
33,f,ch,2025,2,878
34,f,ch,2025,2,843
35,f,ch,2025,2,934
36,f,ch,2025,2,882
37,f,ch,2025,2,932
38,f,ch,2025,2,887
39,f,ch,2025,2,888
40,f,ch,2025,2,867
41,f,ch,2025,2,878
42,f,ch,2025,2,856
43,f,ch,2025,2,957
44,f,ch,2025,2,938
45,f,ch,2025,2,906
46,f,ch,2025,2,946
47,f,ch,2025,2,803
48,f,ch,2025,2,883
49,f,ch,2025,2,915
50,f,ch,2025,2,857
51,f,ch,2025,2,859
52,f,ch,2025,2,851
53,f,ch,2025,2,924
54,f,ch,2025,2,972
55,f,ch,2025,2,1043
56,f,ch,2025,2,959
57,f,ch,2025,2,1095
58,f,ch,2025,2,1056
59,f,ch,2025,2,1090
60,f,ch,2025,2,1068
61,f,ch,2025,2,1110
62,f,ch,2025,2,1093
63,f,ch,2025,2,1054
64,f,ch,2025,2,1028
65,f,ch,2025,2,937
66,f,ch,2025,2,985
67,f,ch,2025,2,927
68,f,ch,2025,2,861
69,f,ch,2025,2,881
70,f,ch,2025,2,888
71,f,ch,2025,2,819
72,f,ch,2025,2,827
73,f,ch,2025,2,792
74,f,ch,2025,2,743
75,f,ch,2025,2,766
76,f,ch,2025,2,750
77,f,ch,2025,2,717
78,f,ch,2025,2,750
79,f,ch,2025,2,667
80,f,ch,2025,2,674
81,f,ch,2025,2,622
82,f,ch,2025,2,654
83,f,ch,2025,2,562
84,f,ch,2025,2,489
85,f,ch,2025,2,382
86,f,ch,2025,2,360
87,f,ch,2025,2,314
88,f,ch,2025,2,309
89,f,ch,2025,2,271
90,f,ch,2025,2,217
91,f,ch,2025,2,212
92,f,ch,2025,2,159
93,f,ch,2025,2,160
94,f,ch,2025,2,106
95,f,ch,2025,2,73
96,f,ch,2025,2,54
97,f,ch,2025,2,30
98,f,ch,2025,2,29
99,f,ch,2025,2,22
100,f,ch,2025,2,22
0,m,int,2025,2,326
1,m,int,2025,2,344
2,m,int,2025,2,326
3,m,int,2025,2,393
4,m,int,2025,2,412
5,m,int,2025,2,414
6,m,int,2025,2,427
7,m,int,2025,2,398
8,m,int,2025,2,411
9,m,int,2025,2,434
10,m,int,2025,2,397
11,m,int,2025,2,370
12,m,int,2025,2,372
13,m,int,2025,2,385
14,m,int,2025,2,331
15,m,int,2025,2,357
16,m,int,2025,2,327
17,m,int,2025,2,421
18,m,int,2025,2,370
19,m,int,2025,2,368
20,m,int,2025,2,417
21,m,int,2025,2,365
22,m,int,2025,2,342
23,m,int,2025,2,389
24,m,int,2025,2,416
25,m,int,2025,2,495
26,m,int,2025,2,478
27,m,int,2025,2,531
28,m,int,2025,2,574
29,m,int,2025,2,642
30,m,int,2025,2,594
31,m,int,2025,2,619
32,m,int,2025,2,658
33,m,int,2025,2,682
34,m,int,2025,2,735
35,m,int,2025,2,792
36,m,int,2025,2,763
37,m,int,2025,2,732
38,m,int,2025,2,753
39,m,int,2025,2,716
40,m,int,2025,2,706
41,m,int,2025,2,747
42,m,int,2025,2,730
43,m,int,2025,2,713
44,m,int,2025,2,700
45,m,int,2025,2,690
46,m,int,2025,2,651
47,m,int,2025,2,665
48,m,int,2025,2,601
49,m,int,2025,2,605
50,m,int,2025,2,555
51,m,int,2025,2,558
52,m,int,2025,2,523
53,m,int,2025,2,528
54,m,int,2025,2,492
55,m,int,2025,2,473
56,m,int,2025,2,459
57,m,int,2025,2,490
58,m,int,2025,2,476
59,m,int,2025,2,403
60,m,int,2025,2,428
61,m,int,2025,2,394
62,m,int,2025,2,375
63,m,int,2025,2,320
64,m,int,2025,2,302
65,m,int,2025,2,271
